panoid	id	title	lat	lng	pitch	heading
46vy9wFfq-JIZpVuiFLIWg	natural-park-ampezzo-dolomites-dolomites-unesco-system-5-dolomiti-settentrionali-and-surroundings	Natural Park Ampezzo Dolomites - Dolomites UNESCO System 5 – “Dolomiti settentrionali” and surroundings	46.521763	12.066176	-27.81	-25.87
Y6VjQ1QHIM9mzf3bhB2Ibw	dolomiti-col-margherita	Dolomiti - Col  Margherita	46.366678	11.791982	-5.76	138.58
Yyg9vz2lIg_UbjpFv9K-FA	doten-valley-dolomites-unesco-system-5-dolomiti-settentrionali-and-surroundings	D'Oten Valley Dolomites UNESCO System 5 – “Dolomiti settentrionali” and surroundings	46.47885	12.317795	-38.12	-78.81
5M6Rb8TOV3ulxPD7gXLkqQ	nevegal-point-of-view-dolomites-unesco-system-3-pale-di-san-martino-san-lucano-dolomiti-bellunesi-vette-feltrineand-surroundings	Nevegal Point of view Dolomites UNESCO - System 3 "Pale di San Martino, San Lucano, Dolomiti Bellunesi, Vette Feltrine"and surroundings	46.411158	12.582684	7.5	-53.06
RTVhrWjgbMQV6O9pfBFrQg	dolomites-unesco-system-7-sciliar-catinaccio-latemar-and-surroundings-1	Dolomites UNESCO System 7 – “Sciliar-Catinaccio, Latemar” and surroundings	46.508362	11.580908	-5.64	65.51
auo73Czvn_DoKARnrR86ww	dolomiti-marmolada	Dolomiti - Marmolada	46.421059	11.88476	-6.06	58.3
GAA7Ps-v4IkQCjgMfg4mxA	trekking-for-pederu-shelter-dolomites-unesco-system-5-dolomiti-settentrionali-and-surroundings	Trekking for Pederù Shelter - Dolomites UNESCO System 5 – “Dolomiti settentrionali” and surroundings	46.620898	12.013338	-2.94	113.57
rUnaHHrABT2HTKastUtiDQ	dolomiti-di-brenta-valley	Dolomiti di Brenta Valley	46.162368	10.945823	-2.35	276.66
Iqgna5ohxOdprJqc2Sisog	dolomiti-settentrionali-peaks	Dolomiti Settentrionali Peaks	46.633034	12.307712	-8.41	-175.31
1rkysmDNFGc8cQdatZW6kw	dolomiti-friulane-e-doltre-piave	Dolomiti Friulane e d’Oltre Piave	46.383844	12.484926	-36.26	-40.28
V_o7P2r5eo3KYiRhkmuvRw	dolomites-unesco-system-8-bletterbach-and-surroundings	Dolomites UNESCO System 8 – “Bletterbach” and surroundings	46.360297	11.44083	15.68	-135.03
koaArQgsNX4u-Ywq9cOkqA	dolomites-unesco-system-5-dolomiti-settentrionali-and-surroundings-3	Dolomites UNESCO System 5 – “Dolomiti settentrionali” and surroundings	46.617529	12.283186	-3.69	-195.57
Pp-T14ECTJ56_5GZZt7iWA	dolomites-unesco-system-7-sciliar-catinaccio-latemar-and-surroundings	Dolomites UNESCO System 7 – “Sciliar-Catinaccio, Latemar” and surroundings	46.447147	11.623106	-7.46	60.13
2rrp5SGvqUsXhtV82HhvZw	puez-odle	Puez-Odle	46.618367	11.750164	-15.17	127.66
PAMLZflC74rqaXAyBnMwsA	natural-park-ampezzo-dolomites-dolomites-unesco-system-5-dolomiti-settentrionali-and-surroundings-1	Natural Park Ampezzo Dolomites - Dolomites UNESCO System 5 – “Dolomiti settentrionali” and surroundings	46.638655	12.087137	-21.76	44.39
J1qsu-2X8UmPSdTLDJOpDw	dolomites-unesco-system-3-pale-di-san-martino-san-lucano-dolomiti-bellunesi-vette-feltrine-and-surroundings-1	Dolomites UNESCO System 3 – “Pale di San Martino, San Lucano, Dolomiti Bellunesi, Vette Feltrine” and surroundings	46.258649	11.867958	1.93	-34.36
5_AWZhbCGuqMd0AGfOlOUw	dolomites-unesco-system-9-dolomiti-di-brenta-and-surroundings-2	Dolomites UNESCO System 9 – “Dolomiti di Brenta” and surroundings	46.162368	10.917272	-3.75	115.51
461-OxF-gChZceIUisyFbw	nevegal	Nevegal	46.09163	12.303712	-7.6	145.87
uE9kdskapFzZo06BefILfQ	dolomites-unesco-system-3-pale-di-san-martino-san-lucano-dolomiti-bellunesi-vette-feltrine	Dolomites UNESCO - System 3 "Pale di San Martino, San Lucano, Dolomiti Bellunesi, Vette Feltrine"	46.280554	11.812249	4.26	-36.16
bxH-3FySUJJDxJuMKAjzDw	pelmo-croda-da-lago-rocks	Pelmo, Croda da Lago Rocks	46.469498	12.099685	-8.7	196.46
u3z3Y41--CkFjgathNHMew	dolomites-unesco-system-9-dolomiti-di-brenta-and-surroundings-3	Dolomites UNESCO System 9 – “Dolomiti di Brenta” and surroundings	46.20293	10.890382	-5.85	-92.95
uOJCgToPnUIqSKtxqSve_w	dolomiti-settentrionali	Dolomiti Settentrionali	46.650418	12.184432	-8.78	-122.5
5GfuHSUkyTLAIJ6J1OxqkA	dolomiti-monte-civetta	Dolomiti -  Monte Civetta	46.399173	12.062057	-14.05	206.03
r9dl-vuvvUlRellqdsWRmw	dolomites-unesco-system-4-dolomiti-friulane-e-doltre-piave-and-surroundings-1	Dolomites UNESCO System 4 – “Dolomiti Friulane e d’Oltre Piave” and surroundings	46.383853	12.505905	-14.27	-77.67
ygDRTBjjVGqkDjkiqRPvhQ	dolomiti-unesco-sistema-5-dolomiti-settentrionali-e-dintorni	Dolomiti UNESCO - Sistema 5 "Dolomiti settentrionali" e dintorni	46.638704	12.096591	-23.22	114.99
Qc_L-FGE0kogf0uLL-ffEw	pelmo-croda-da-lago	Pelmo, Croda da Lago	46.487448	12.10541	-13.42	-63.76
